,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Platform,1.0,0.0155900532004118,0.06623073174319716,0.01881707864375972,-0.0013350484420986697,0.015624890283374666,0.07216439379246972,-0.05354912397296735,0.008729346487595433,-0.015295068822230347,-0.16307918205727356,0.038099705154311846,-0.03382370322720866,0.010282699010709839,-0.07741535464500894
Year_of_Release,0.0155900532004118,1.0,-0.07064596802662736,0.0009733391976580952,-0.024736078417835976,0.05039538609831278,-0.037299534125995966,0.04155645542874968,0.005945396001375062,0.0027495919241954793,0.20417090012990638,-0.24274590589646905,0.2056308283130483,-0.025364515890106236,0.2517286498279057
Genre,0.06623073174319716,-0.07064596802662736,1.0,0.059609829840155865,0.011897035688270842,0.018712970280408907,0.030086636250752134,-0.006571786805426296,0.016437253237691782,-0.04477612198727406,-0.04979716656059215,-0.016614422039436454,-0.04503458474348318,0.07844773192180408,-0.07890966211509726
Publisher,0.01881707864375972,0.0009733391976580952,0.059609829840155865,1.0,-0.12076623962232255,-0.10676869190205958,-0.047719218872150436,-0.08701653883784358,-0.11831689986043359,-0.16191697909752892,-0.13775008059322758,-0.04054898754168855,-0.027982419518769956,0.25629122665959814,0.02939135360751011
NA_Sales,-0.0013350484420986697,-0.024736078417835976,0.011897035688270842,-0.12076623962232255,1.0,0.7759798624577756,0.43791110311177506,0.643875953056981,0.937083613250486,0.28230680704175737,0.33076208447221045,0.09810994737946142,0.3195762718382637,-0.09183735013362704,-0.012837918293524599
EU_Sales,0.015624890283374666,0.05039538609831278,0.018712970280408907,-0.10676869190205958,0.7759798624577756,1.0,0.48294786407456775,0.6182483665951595,0.910687580673387,0.2559348883059454,0.29971804586493184,0.057886599145519954,0.358469291984153,-0.058220491454042386,-0.0073800142587995676
JP_Sales,0.07216439379246972,-0.037299534125995966,0.030086636250752134,-0.047719218872150436,0.43791110311177506,0.48294786407456775,1.0,0.33700363619181645,0.6085242589951433,0.1490075071374914,0.16461473477157595,0.13353779224123333,0.0789527761678752,-0.0570401176952006,-0.0590558151227932
Other_Sales,-0.05354912397296735,0.04155645542874968,-0.006571786805426296,-0.08701653883784358,0.643875953056981,0.6182483665951595,0.33700363619181645,1.0,0.7483760136100422,0.2012694129953275,0.2384240928145364,0.05579240458895835,0.2606287703675222,-0.050290853849718965,0.012097190029454575
Global_Sales,0.008729346487595433,0.005945396001375062,0.016437253237691782,-0.11831689986043359,0.937083613250486,0.910687580673387,0.6085242589951433,0.7483760136100422,1.0,0.2849892049483387,0.33247046747055486,0.09990908079209089,0.3365240303361123,-0.08294531120703154,-0.017066715712825035
Critic_Score,-0.015295068822230347,0.0027495919241954793,-0.04477612198727406,-0.16191697909752892,0.28230680704175737,0.2559348883059454,0.1490075071374914,0.2012694129953275,0.2849892049483387,1.0,0.39666085157402636,0.5756204261880117,0.27077424652170523,-0.16245180028243067,-0.025696937159187055
Critic_Count,-0.16307918205727356,0.20417090012990638,-0.04979716656059215,-0.13775008059322758,0.33076208447221045,0.29971804586493184,0.16461473477157595,0.2384240928145364,0.33247046747055486,0.39666085157402636,1.0,0.19579450873190607,0.37869671282758033,-0.03264977729578178,0.1456634574222263
User_Score,0.038099705154311846,-0.24274590589646905,-0.016614422039436454,-0.04054898754168855,0.09810994737946142,0.057886599145519954,0.13353779224123333,0.05579240458895835,0.09990908079209089,0.5756204261880117,0.19579450873190607,1.0,0.01639717558481655,-0.052671778438616715,-0.05233827744229439
User_Count,-0.03382370322720866,0.2056308283130483,-0.04503458474348318,-0.027982419518769956,0.3195762718382637,0.358469291984153,0.0789527761678752,0.2606287703675222,0.3365240303361123,0.27077424652170523,0.37869671282758033,0.01639717558481655,1.0,-0.002727113460992004,0.13931352519045442
Developer,0.010282699010709839,-0.025364515890106236,0.07844773192180408,0.25629122665959814,-0.09183735013362704,-0.058220491454042386,-0.0570401176952006,-0.050290853849718965,-0.08294531120703154,-0.16245180028243067,-0.03264977729578178,-0.052671778438616715,-0.002727113460992004,1.0,0.024163984571388644
Rating,-0.07741535464500894,0.2517286498279057,-0.07890966211509726,0.02939135360751011,-0.012837918293524599,-0.0073800142587995676,-0.0590558151227932,0.012097190029454575,-0.017066715712825035,-0.025696937159187055,0.1456634574222263,-0.05233827744229439,0.13931352519045442,0.024163984571388644,1.0
